City,State,Latitude,Longitude,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,Jan_temp,Jan_precip,Jan_humid,Jan_cloud,Feb_temp,Feb_precip,Feb_humid,Feb_cloud,Mar_temp,Mar_precip,Mar_humid,Mar_cloud,Apr_temp,Apr_precip,Apr_humid,Apr_cloud,May_temp,May_precip,May_humid,May_cloud,Jun_temp,Jun_precip,Jun_humid,Jun_cloud,Jul_temp,Jul_precip,Jul_humid,Jul_cloud,Aug_temp,Aug_precip,Aug_humid,Aug_cloud,Sep_temp,Sep_precip,Sep_humid,Sep_cloud,Oct_temp,Oct_precip,Oct_humid,Oct_cloud,Nov_temp,Nov_precip,Nov_humid,Nov_cloud,Dec_temp,Dec_precip,Dec_humid,Dec_cloud
Birmingham,Alabama,33.5185892,-86.8103567,231,293,395,364,450,447,352,357,374,371,290,267,289,369,444,356,381,348,450,404,295,368,275,300,262,279,395,445,437,428,356,434,376,398,272,353,45.8,5.2,68.22,53.3,56.3,6.1,72.67,66.1,56.1,4.2,60.86,54,64.7,6.4,63.46,49.5,73.6,6.2,69.22,49.2,77.5,7,73.7,56.8,80.7,4.8,72.24,50.9,79.7,4.9,72.78,54.2,78.2,2.5,68.26,38.5,66.8,4.8,70.81,48.7,51.9,3.4,72.74,49.6,48.3,7.1,74.08,61.5
Spokane,Washington,47.6587802,-117.4260465,306,268,418,422,603,728,601,621,559,599,487,429,341,329,413,471,619,698,681,659,527,519,475,397,321,348,368,479,537,569,601,643,562,588,461,399,29.4,2,85.13,70.7,28.3,2.7,78.99,69.1,38.8,2,72.09,61,47.3,1.9,63.81,64.7,59.8,1.6,56.1,48.4,64.5,0.7,50.48,46.8,73,0.2,37.64,25.7,71.9,0.3,41.1,36.3,60,1,54.17,51.6,45.5,1.6,65.92,47.3,37,1.9,81.07,64.2,31.7,2.5,84.22,77.7
Rochester,New York,43.1565779,-77.6088465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,27.3,2.1,73.24,63.6,31.9,2.2,71.34,55.2,33.1,2.4,65.1,49.6,45.2,3.8,68.95,54.5,58.7,3.2,68.94,59.2,66.4,3.2,68.75,50.7,73.8,3.3,69,46.2,71.1,2.5,71.06,48.6,65.6,2.2,75.41,47.9,53.7,5.2,76.32,54.5,37.4,3.3,74.23,59.3,31.8,2.8,74.14,61
Des Moines,Iowa,41.5868353,-93.6249593,286,282,465,462,513,538,447,490,425,450,353,376,320,259,404,412,506,488,503,525,419,475,370,360,270,244,284,349,461,376,375,394,343,398,302,288,23.4,1.4,74.87,64.3,27.3,1.5,71.7,62.9,37.4,2.8,67.56,65.1,50.3,2.6,61.49,64.5,64,6.9,68.12,58.7,74,5.4,65.78,52.2,77.4,3,68.51,42.8,72.9,4.6,71.58,50.1,69.2,5.3,74.33,48.8,51.1,5,71.14,56.2,35.8,1.1,71.19,60.3,29.7,1.5,72.84,60.3
Modesto,California,37.6392595,-120.9970014,220,248,339,317,366,376,348,379,296,323,298,306,230,215,289,320,357,323,295,362,282,309,245,278,244,276,262,302,362,274,324,337,274,330,254,266,49.8,3.4,81.55,43.8,51.1,2.2,69.04,34.9,56.3,2,68.55,32.4,62.6,1.3,59.03,22.4,67.5,0.6,53.48,15.1,77.1,0,41.81,3.2,81.8,0,37.17,2.5,79.3,0,44.36,1.4,73.8,0,48.09,3.7,63.7,0.1,51.92,3.5,54.7,1.4,69.9,20,48.3,1.6,77.49,24.4
Fayetteville,North Carolina,35.0526641,-78.8783585,285,253,331,334,352,416,311,349,331,363,317,300,256,295,378,343,409,420,419,432,263,390,332,320,311,328,412,409,523,470,542,510,438,492,444,490,44.7,3.1,66.21,35.4,54,1.7,67.21,41.2,52.3,3.1,58.78,37.3,64.6,4.6,64.13,35,74.6,4.1,67.81,34.9,78.9,5,69.8,33.4,81.4,8.9,71.93,29.6,79.2,6.1,77.08,35.7,76.6,8.6,75.99,29.8,66.2,2.8,74.79,31.3,51.3,3.2,72.42,36.2,47.8,5.1,72.46,39.1
Tacoma,Washington,47.2528768,-122.4442906,325,302,431,367,453,473,460,477,415,392,368,316,294,301,360,397,500,433,448,392,309,372,349,283,223,271,294,367,387,409,394,376,323,355,318,330,41.2,5.9,81.52,22.5,38.9,5.2,84.13,10,46.3,4.7,74.73,8.5,51.2,5.3,73.78,13.9,58.1,1.4,73.56,26.9,60.9,1.1,70.34,26,65.9,0.6,68.56,18,66.4,0.6,71.68,18.2,61,5.9,77.65,25,49.8,4.6,80.39,18.6,45.1,4.7,84.86,22.9,42.3,7.8,86.19,27.8
Oxnard,California,34.1975048,-119.1770516,101,89,138,123,162,167,153,159,149,160,145,125,104,87,156,125,150,128,142,146,115,115,112,107,99,88,107,122,144,158,150,165,120,145,119,129,57.1,4.8,65.6,29.2,54.6,3.5,68.84,34.1,57.6,2.4,70.22,31.5,59.7,0.1,71.16,30.2,60.1,0.5,75.59,46.6,63.4,0,79.35,56.3,67.7,0,78.71,41,67.7,0,80.1,35.4,67.4,0,76.97,33.3,65.9,0.1,61.61,17.6,60.8,1.2,64.53,21.6,56.6,2.1,57.97,11.8
Fontana,California,34.0922335,-117.435048,165,188,257,214,246,267,201,237,239,186,199,198,149,158,183,221,202,221,200,223,155,190,175,135,125,139,187,201,185,181,203,237,201,211,146,186,56.3,3.7,58.33,51.6,54.8,2.5,58.82,49.1,60.3,1,56.75,50.8,65,0,51.68,42.8,64.9,0.3,61.01,52.7,73,0,56.97,30,80.7,0,51.14,25.2,79.3,0,53.04,22.1,75.2,0,53.92,28.3,70.3,0.3,44.02,24.1,62.9,1.2,46.74,40.1,56.5,1.3,46.55,40.4
Columbus,Georgia,32.4609764,-84.9877094,184,169,245,223,286,328,213,299,285,235,214,268,204,243,293,260,281,295,263,281,219,284,308,246,248,234,293,283,352,329,399,339,258,280,211,283,48.5,6.3,66.87,36.7,58.8,3.1,71.41,55.3,57.9,2.4,59.3,37.2,66.2,4.7,63.68,32.2,75,6.4,68.6,33.4,78.7,5.9,74.82,38,81.3,5.4,73.75,33.9,80.4,5.7,75.33,36.9,79.5,3.8,68.33,23.9,69.7,4.6,70.82,33.7,55.3,4.1,72.53,37.2,51.6,6.1,72.53,51.6
Montgomery,Alabama,32.3792233,-86.3077368,214,193,225,257,311,284,248,248,240,240,220,230,165,219,272,281,305,336,311,307,314,299,225,255,198,225,290,257,349,339,328,293,232,240,209,273,48.6,7.4,70.57,39.5,59.4,3.6,74.35,54.4,58,3.5,64.37,40.1,65.3,4,68.78,31.3,74.3,7.9,73.65,28.9,78.8,9,76.93,36.1,81.1,6.3,77.07,29,80.5,6.2,77.17,32,79.6,3.9,70.26,24.5,69.5,4.5,72.44,30.3,53.9,3.5,74.99,33.4,50.8,6.3,75.53,48
Moreno Valley,California,33.9424658,-117.2296717,174,180,239,236,259,262,245,250,221,253,199,192,151,150,214,222,229,227,223,223,197,183,184,172,162,145,197,238,265,216,241,228,194,225,181,193,52.4,2.8,66.84,30.1,50.4,3.9,71.06,33.5,56,1.7,67.66,30.6,61.5,0.1,57.64,22.3,62.4,0.5,66.8,41.7,71.6,0,59.93,21.4,79.3,0,50.84,11.4,78.1,0.3,53.42,7.3,73.4,0,55.48,16.2,66.3,0.5,47.45,14.2,58.5,1.1,51.72,19.7,51.9,1.7,54.61,18.9
Shreveport,Louisiana,32.5251516,-93.7501789,,,,,,,,,,,,,,,,,,,,249,207,235,186,247,229,199,279,293,216,259,313,294,261,317,220,229,48.5,3.1,67.01,46.6,55.7,5.1,75.58,60.1,60.9,3.3,63.84,43,66.1,4.9,67.91,38.4,76.3,4.9,68.91,34.7,81.5,4.6,70.24,34.4,84.4,2.7,68.47,25.9,83.7,3.3,70.38,28,80.1,4.7,70.95,26.7,67.7,5.6,72.18,32.7,56,2.8,71.59,40.7,50.5,5.8,70.66,43.1
Aurora,Illinois,41.7605849,-88.3200715,213,178,256,236,346,415,335,402,305,307,272,217,191,164,225,244,320,356,328,339,221,287,226,186,144,165,217,247,255,285,299,268,240,221,180,191,23.7,1.7,78.94,54,29.9,2.1,75.74,49.8,36.3,2.6,67.75,47.1,47.9,4.2,66.89,44.7,61.1,7.2,71.78,46.4,70.6,3.9,70.39,37,74.2,3.9,72.77,25.2,70.8,3.8,76.22,32,67.2,3.9,75.51,32.2,52.2,6.6,75.42,47.8,34.9,1.7,76.9,53.7,29.8,1.5,77.85,48.7
Yonkers,New York,40.9312099,-73.8987469,58,52,72,43,84,81,96,100,76,79,75,64,64,73,60,60,44,70,60,81,71,61,47,56,56,51,42,55,52,62,73,79,57,85,51,63,34.6,5,61.85,57.2,40,3.4,58.86,51.5,39.8,4.7,52.48,53.1,54.2,4.4,59.53,59.5,62.7,5.6,64.64,62.1,72.5,4.3,60.6,48.7,78.2,5.1,64,47.4,75.9,4.2,65.91,45.5,70.7,2.7,67.44,49.3,61.8,4.4,66.3,52.5,45.6,3,60.94,49.8,37.5,4.7,62.89,56.6
Akron,Ohio,41.0814447,-81.5190053,206,256,281,339,343,410,304,397,337,341,304,313,243,224,315,298,388,319,396,354,293,338,340,322,245,262,295,367,363,354,406,369,364,382,338,346,29.5,1.9,72.75,70.8,36.8,2.1,69.22,66.4,37.2,2.2,64.06,59.4,52.1,2.5,61.77,55.2,64.3,2.8,66.56,52.7,71,4,66.51,46.4,75.7,2.6,67.39,35.5,73.4,2,67.78,39,69.6,2.4,69.85,37.6,57.3,2.2,70.27,51,40,1.9,68.77,65,34.3,1.5,71.91,64.3
Huntington Beach,California,33.6594835,-117.9988026,143,148,234,189,259,236,228,254,231,187,199,170,134,150,192,201,239,222,176,217,177,170,155,141,134,153,150,183,209,176,200,214,226,221,161,181,57.6,4.8,68.05,44.5,55.8,3.2,68.84,47.9,59.7,0.8,67.02,45.9,62.9,0,65.85,41.7,63.1,0.2,70.13,57.7,67,0,72.99,55.9,72.9,0,70.25,40.6,73.4,0,69.78,37.6,71.8,0,68.95,38.4,69.2,17,59.36,27.5,63.1,1.2,63.83,39,57.8,2.3,60.89,35.2
Little Rock,Arkansas,34.7464809,-92.2895948,228,210,296,371,381,425,298,334,294,301,303,273,242,242,314,341,413,390,366,324,292,301,301,282,234,256,282,324,417,363,339,364,315,340,268,264,41.4,2.7,72.96,59.3,48.8,8.3,76.84,72.9,54,3.9,65.72,60.1,61.2,9.3,70.61,61.4,72,6.6,75.14,61.6,77.9,3.9,75.28,63.5,80.9,3.8,77.18,55.6,78.9,5.9,80.4,62.8,76.4,3.3,76.99,47.3,62.8,5.8,75.26,54.4,49.4,3.3,73.69,59.4,44.4,6.7,72.05,63.2
Amarillo,Texas,35.2219971,-101.8312969,231,276,394,317,432,401,346,385,351,322,279,309,229,253,388,387,451,451,393,406,310,357,293,313,267,266,364,360,452,412,400,435,369,365,285,344,38.2,1.1,52.34,16.8,42.8,0.3,50.26,15.1,50.4,1.7,49.9,20.4,56.7,1.3,51.68,24.7,67.1,1.8,53.6,21.2,76.3,1.5,53.74,16,80.2,2.6,50.48,15.7,77.1,4.7,59.58,23.9,71.6,2,61.62,26.1,55.5,4,62.65,31,46,0.4,56.99,19.3,38.7,0.5,55.51,20.1
Glendale,California,34.1425078,-118.255075,,,143,136,128,156,143,200,138,115,117,137,80,77,109,103,123,142,129,127,112,108,89,101,63,77,102,115,147,134,129,113,122,109,111,122,56.7,4.7,60.76,26.7,55.2,3.5,60.96,36.7,60.1,1.9,58.06,29.9,64.1,0.1,55.79,20.6,63.1,0.4,66.53,44.2,69,0,66.79,34.2,75.8,0,61.74,12.3,75.6,0,63.04,14.4,73.3,0,60.94,22.4,69.9,0.2,49.86,15.6,63.2,1.1,53.73,18.3,57.5,2.2,48.97,13.1
Mobile,Alabama,30.6953657,-88.0398912,,218,376,321,420,406,354,402,355,324,317,323,111,141,162,174,325,437,416,358,318,343,312,321,262,305,357,385,444,384,458,370,377,364,308,343,52.6,6.4,74.23,13.5,61.8,3.8,83.08,0.8,60.5,2.2,73.91,1.6,66.9,5,76,1.8,77.1,7.1,75.65,11.8,81.9,8.1,77.89,11.8,83.3,7.7,78.7,10.9,82.7,9.3,80.42,9.5,83,3.9,74,11.2,73.5,7.9,77.2,9.6,58.1,2.1,77.31,15.3,56.2,4.8,75.87,17.4
Grand Rapids,Michigan,42.9633599,-85.6680863,436,309,437,381,488,547,501,486,428,458,380,425,368,274,366,396,430,490,447,498,409,450,374,333,280,290,308,372,330,345,526,421,398,475,326,450,25.7,2.7,76.01,77.6,29.9,3.3,72.94,71.1,33.8,2.2,64.97,60.9,46.1,4.4,65.71,65.1,59.3,4.4,68.81,64.6,68.7,3.9,69.53,60.7,73.7,2.6,69.67,50.9,70.6,3.6,72.64,55,65.8,4.5,75.36,54.3,52.2,7.7,76.1,67.9,36.3,2.7,74.33,78.8,30.5,2.5,77.72,76.3
Salt Lake City,Utah,40.7607793,-111.8910474,207,230,327,328,368,419,323,357,306,340,302,297,258,254,328,299,384,384,307,330,264,283,288,239,202,218,256,312,367,331,368,325,310,339,265,279,31.5,1.6,75.72,68,37.2,1.5,62.51,72.8,45.5,3.3,59.32,69.1,52.4,3,53.21,65.2,60.9,2,49.71,56.7,73.6,0.2,33.78,40.9,83,0.4,31.32,47.4,79.4,0.4,30.92,38,68.1,1.2,40.61,41.3,49.6,1.1,51.89,43.9,41.6,1.2,62.93,56.9,32.1,1.3,76.98,69.8
Tallahassee,Florida,30.4382559,-84.2807329,290,250,408,402,476,563,433,492,313,332,292,333,260,307,446,396,502,560,518,424,313,338,246,369,256,290,409,476,513,516,473,450,428,406,372,404,52.7,4.1,71.77,48.6,62.9,2.8,77.8,57.3,61.1,3.6,66.47,46.4,67.9,3.3,69.83,45.9,76.5,4.9,70.67,50.2,79.9,8.7,79.42,60.4,81,7.2,80.53,54.8,80.9,7.8,82.27,55.7,80.4,2.5,75.72,44.9,73.3,4.1,74.2,43.4,59.3,2.2,77.06,48.9,56.2,7.1,79.3,63.1
Huntsville,Alabama,34.7303688,-86.5861037,238,236,343,319,362,376,343,375,322,294,169,217,184,158,269,270,337,404,408,428,391,350,306,303,260,287,357,425,403,402,450,393,363,416,346,372,42.8,4.6,70.37,54.1,52.3,8.4,75.06,64,52.2,4.3,63.04,48.8,61.7,6.6,67.24,43.3,71.6,5.1,73.03,40.6,76,4.6,74.89,42.7,78.8,4.6,77.69,39.2,77.5,3.8,76.88,41.8,75.3,3.3,73.9,33.4,63.5,4.6,74.79,39.6,49.1,4,75.04,42.6,45.6,7.7,75.75,57.3
Grand Prairie,Texas,32.7459645,-96.9977846,187,156,235,197,278,242,229,259,233,214,212,187,166,142,221,202,232,245,236,244,180,232,197,178,167,166,229,198,224,226,238,219,178,228,183,210,46.7,1.9,61.55,31.4,52.8,3.9,71.12,46.1,60.2,2.6,60.47,31.4,65,4.9,64.46,32,75,4.9,66.09,28.6,81.7,4.7,65.65,24.5,85.7,1.6,58.54,10.8,84.8,2,61.79,17.2,80.2,2.7,65.67,28,66.2,7,66.79,31.2,55.4,1.9,67.04,32.2,49,3.1,65.1,35.9
Knoxville,Tennessee,35.9606384,-83.9207392,426,480,747,647,820,888,768,804,673,722,435,595,498,519,701,735,863,880,826,862,669,725,618,601,547,523,685,781,863,851,868,839,750,729,633,685,40.3,3.6,73.01,34,49.1,8.5,74.19,27.3,49.6,5.1,66.21,9.7,60.1,5.7,70.67,12.4,70.1,4.8,76.14,14.9,74,5.5,77.41,20.8,77.6,5,79.7,19.9,75.9,4.6,81.58,12.5,73.5,3.4,80.39,10.9,61.9,4.7,80.58,11,44.7,5,80.69,14.5,43.6,5.4,78.24,9.1
Worcester,Massachusetts,42.2625932,-71.8022934,107,78,99,116,158,203,155,187,135,151,152,137,102,86,120,123,147,179,183,188,154,137,166,135,94,104,117,112,140,182,153,164,164,170,134,127,26,4,66.9,42.3,31,3.6,67.39,38.5,32.2,3.9,59.34,41.2,45.6,6.2,66.42,47.7,56.3,3.9,68.94,50.5,65.3,3.9,68.16,37.8,71.6,4.1,71.31,32.9,69.4,4,73.9,33.7,63.2,4.4,76.68,38.5,52.5,7,77.08,44.6,37,4.8,68.86,42.3,28.8,4.8,70.48,40.7
